image,caption,caption(English)
86.jpg,"Bên ph?i xe ch?y, tr??c m?t v?ng v?.","Right side of the car, empty in front."
87.jpg,"???ng h?p, trái có v?t c?n, ph?i là ???ng xe ch?y.","Narrow road, left side has an obstacle, right side is the road."
87.jpg,"L?i ?i ch?t, bên trái b? ch?n, bên ph?i là làn xe.","Narrow path, left side is blocked, right side is the lane."
87.jpg,"???ng khá h?p, trái có ch??ng ng?i, ph?i là làn xe ch?y.","Quite narrow road, left side has an obstacle, right side is the lane."
87.jpg,"L?i ?i thu h?p, trái g?p v?t c?n, ph?i là ???ng xe.","Narrow path, left side has an obstacle, right side is the road."
87.jpg,"???ng nh?, trái ch?n l?i, ph?i là làn xe ch?y.","Small road, left side is blocked, right side is the lane."
88.jpg,"Phía tr??c ???ng v?ng, bên ph?i có v?t c?n, bên trái là ???ng xe ch?y.","Empty road in front, right side has an obstacle, left side is the road."
88.jpg,"Tr??c m?t yên t?nh, ph?i b? ch?n, trái là làn xe ch?y.","Quiet in front, right side is blocked, left side is the lane."
88.jpg,"???ng tr??c m?t tr?ng tr?i, bên ph?i có ch??ng ng?i, bên trái là ???ng xe.","Empty road in front, right side has an obstacle, left side is the road."
88.jpg,"Phía tr??c v?ng v?, ph?i g?p v?t c?n, trái là làn xe.","The front is deserted, there must be an obstacle, the left is the lane."
88.jpg,"L?i ?i th?a th?t phía tr??c, ph?i có v?t ch?n, trái là ???ng xe ch?y.","The path is sparse in front, there must be an obstacle, the left is the road."
89.jpg,"Phía tr??c và bên ph?i có v?t c?n, bên trái là ???ng xe ch?y.","There are obstacles in front and on the right, the left is the road."
89.jpg,"Tr??c m?t b? ch?n, ph?i có ch??ng ng?i, trái là làn xe ch?y.","The front is blocked, there must be an obstacle, the left is the lane."
89.jpg,"V?t c?n tr??c m?t và bên ph?i, trái là ???ng xe.","Obstacles in front and on the right, the left is the road."
89.jpg,"Ch??ng ng?i tr??c m?t và bên ph?i, trái là làn xe ch?y.","Obstacles in front and on the right, the left is the lane."
89.jpg,"L?i ?i b? ch?n phía tr??c và ph?i, trái là ???ng xe ch?y.","The path is blocked in front and on the right, the left is the road."
90.jpg,"Phía tr??c là v?t c?n n?i ti?p nh?ng kho?ng cách v?a ?? và không quá to, có th? ?i qua ???c, bên ph?i là v?t c?n dài ng?n cách h?, bên trái là ???ng xe ch?y.","There are obstacles in succession but the distance is just enough and not too big, can be passed through, on the right is a long obstacle separating the lake, on the left is the road."
90.jpg,"Tr??c m?t có ch??ng ng?i liên ti?p nh?ng l?i ?i v?n ?? r?ng, ph?i có d?i ch?n h?, trái là làn xe ch?y.","There are obstacles in front but the path is still wide enough, there must be a barrier to the lake, the left is the lane."
90.jpg,"V?t c?n phía tr??c n?i ti?p nhau nh?ng không quá l?n, v?n có th? lách qua, ph?i có rào ch?n h? dài, trái là ???ng xe.","Obstacles in front are succession but not too big, can still be passed through, there must be a barrier to the lake, the left is the road."
90.jpg,"L?i ?i tr??c m?t có v?t c?n liên ti?p nh?ng không gây c?n tr? l?n, ph?i có v?t ch?n h? dài, trái là làn xe ch?y.","The path ahead has continuous obstacles but does not cause major obstructions, there must be a long barrier, the left is the traffic lane."
90.jpg,"Ch??ng ng?i tr??c m?t n?i ti?p nh?ng d? v??t qua, ph?i có rào ch?n h?, trái là ???ng xe ch?y.","Obstacles ahead are continuous but easy to overcome, there must be a barrier, the left is the traffic lane."
91.jpg,Phía tr??c ???ng v?ng.,The road ahead is empty.
91.jpg,Tr??c m?t yên t?nh.,The path ahead is quiet.
91.jpg,L?i ?i tr??c m?t tr?ng tr?i.,The path ahead is empty.
91.jpg,???ng tr??c m?t th?a th?t.,The road ahead is sparse.
91.jpg,Tr??c m?t là con ???ng v?ng v?.,The road ahead is deserted.
92.jpg,"Phía tr??c ???ng v?ng, 2 bên ???ng có nhi?u v?t c?n.","The road ahead is empty, there are many obstacles on both sides."
92.jpg,"Tr??c m?t yên t?nh, hai bên ??y ch??ng ng?i.","The road ahead is quiet, there are many obstacles on both sides."
92.jpg,"???ng tr??c m?t tr?ng tr?i, 2 bên b? ch?n b?i v?t c?n.","The road ahead is empty, there are obstacles on both sides."
92.jpg,"Phía tr??c v?ng v?, 2 bên có nhi?u ch??ng ng?i.","The front is deserted, with many obstacles on both sides."
92.jpg,"L?i ?i tr??c m?t th?a th?t, 2 bên ???ng có nhi?u v?t ch?n.","The path ahead is sparse, with many obstacles on both sides."
93.jpg,"Phía tr??c có v?t c?n, bên trái là ???ng xe ch?y.","There is an obstacle ahead, the left side is the road."
93.jpg,"Tr??c m?t b? ch?n, trái là làn xe ch?y.","The front is blocked, the left side is the road."
93.jpg,"V?t c?n phía tr??c, bên trái là ???ng xe.","The obstacle ahead, the left side is the road."
93.jpg,"Ch??ng ng?i tr??c m?t, trái là làn xe ch?y.","The obstacle ahead, the left side is the road."
93.jpg,"L?i ?i b? ch?n phía tr??c, trái là ???ng xe ch?y.","The path ahead is blocked, the left side is the road."
94.jpg,,The road ahead is empty.
94.jpg,,The path before me lies bare.
94.jpg,,An open road stretches out ahead.
94.jpg,,The way forward is wide and vacant.
94.jpg,,The journey onward is vast and unoccupied.
95.jpg,,"The right side is clear, there's an obstacle ahead, and the left is a traffic lane."
95.jpg,,"The right is unobstructed, an obstacle blocks the front, while the left is a roadway."
95.jpg,,"Clear on the right, blocked ahead, and traffic flows to the left."
95.jpg,,"To the right, it’s open; straight ahead, there's an obstacle; to the left, vehicles are moving."
95.jpg,,"The right side is spacious, an obstacle looms ahead, and the left is busy with traffic."
96.jpg,,"There’s an obstacle ahead, with sidewalks on both sides."
96.jpg,,"An obstruction looms ahead, flanked by sidewalks on either side."
96.jpg,,"The path forward is blocked, with pavements lining both sides."
96.jpg,,"An obstacle is up front, bordered by sidewalks on the left and right."
96.jpg,,"The way ahead is obstructed, sidewalks stretching on both sides."
97.jpg,,"Obstacles line the left, while the way ahead is clear."
97.jpg,,"The left is cluttered with obstacles, but the path forward is empty."
97.jpg,,"Barriers occupy the left side, leaving the front open and unoccupied."
97.jpg,,"Obstacles block the left, but the road ahead is empty."
97.jpg,,"The left side is obstructed, while the way forward remains clear."
98.jpg,,"There are obstacles on the left and right, and the path ahead is clear but narrow."
98.jpg,,"The left and right sides are blocked, but the road ahead is open, though narrow."
98.jpg,,"Obstacles are present on both sides, and the way forward is unobstructed but tight."
98.jpg,,"The left and right are blocked, and while the path ahead is open, it is still narrow."
98.jpg,,"There are barriers on both sides, with the road ahead being clear but quite narrow."
99.jpg,,"There are multiple obstacles placed consecutively, evenly spaced apart, with just enough distance between them. The obstacles are of moderate size, and the roads on both sides are for vehicles."
99.jpg,,"The obstacles appear one after another, spaced evenly, with a reasonable distance between them. The obstacles are of moderate size, and there are vehicle lanes on both sides."
99.jpg,,"There are several obstacles in succession, evenly spaced, with an adequate gap between them. They are of a moderate size, and there are vehicle lanes on both sides."
99.jpg,,"Numerous obstacles are lined up, evenly spaced with enough room between them. The obstacles are of a reasonable size, and vehicle lanes are present on both sides."
99.jpg,,"Multiple consecutive obstacles are placed with equal spacing between them, with a moderate size. The two sides have vehicle lanes."
100.jpg,,"There is an obstacle ahead, and on the right side, there is a narrow passage next to the obstacle."
100.jpg,,"An obstacle is in front, and on the right side of it, there is a relatively narrow path."
100.jpg,,"In front, there's an obstacle, while to the right of it, there's a narrow passageway."
100.jpg,,"There’s an obstacle ahead, with a tight passage on the right side of it."
100.jpg,,"Ahead, there is an obstacle, and on the right, a relatively narrow path is available."
102.jpg,,"There is an obstacle very close on the right, but once you pass it, the road ahead is clear."
102.jpg,,"An obstacle is very close on the right, but after you pass it, the path opens up."
102.jpg,,"There’s an obstacle just to the right, but once passed, the road becomes wide open."
102.jpg,,"A close obstacle is on the right, but the road becomes very clear after passing it."
102.jpg,,"There is an obstacle right on the right, but once you go past it, the path is wide and clear."
103.jpg,,"The road ahead is clear, and on the right side, there is a vehicle lane."
103.jpg,,"The path ahead is open, with a vehicle lane on the right side."
103.jpg,,"In front, the road is clear, and there’s a vehicle lane to the right."
103.jpg,,"The road ahead is unobstructed, and on the right, there is a lane for vehicles."
103.jpg,,"Ahead, the road is clear, and on the right, there’s a road for vehicles."
104.jpg,,"The road ahead is empty, with buildings on both sides."
104.jpg,,"The path in front is quiet, and there are rows of houses on either side."
104.jpg,,"In front, the road is deserted, with houses lining both sides."
104.jpg,,"The road ahead is calm, and buildings are situated on both sides."
104.jpg,,"Ahead, the road is quiet, flanked by rows of houses."
105.jpg,,"The road ahead is empty, with a vehicle lane on the right and an obstacle on the left."
105.jpg,,"The path ahead is deserted, with a vehicle lane on the right and an obstacle to the left."
105.jpg,,"In front, the road is clear, with a vehicle lane on the right and an obstruction on the left."
105.jpg,,"The road ahead is quiet, with a lane for vehicles on the right and an obstacle on the left."
105.jpg,,"Ahead, the road is vacant, with a vehicle lane on the right and a barrier on the left."
106.jpg,,"The road ahead is narrow, with obstacles on both sides."
106.jpg,,"In front, the path is tight, and there are obstacles on either side."
106.jpg,,"The road ahead is narrow, flanked by obstacles on both sides."
106.jpg,,"The path ahead is constricted, with barriers on both sides."
106.jpg,,"Ahead, the road is tight, and obstacles are present on both sides."
107.jpg,,"There is an obstacle ahead, with a vehicle lane on the right and a wall on the left."
107.jpg,,"An obstacle is in front, with a vehicle lane on the right and a wall to the left."
107.jpg,,"In front, there's an obstacle, with a vehicle lane on the right and a wall on the left."
107.jpg,,"There’s an obstacle ahead, and on the right is a vehicle lane, while a wall runs along the left."
107.jpg,,"Ahead, there is an obstacle, with a lane for vehicles on the right and a wall on the left."
109.jpg,,"There is an obstacle ahead, but once passed, the road becomes quite clear, with a vehicle lane on the right."
109.jpg,,"An obstacle is in front, but after crossing it, the path opens up, with a vehicle lane to the right."
109.jpg,,"There’s an obstacle ahead, but once you pass it, the road ahead is clear, and there’s a vehicle lane on the right."
109.jpg,,"In front, there’s an obstacle, but after you pass it, the road is fairly open, with a vehicle lane on the right."
109.jpg,,"An obstacle lies ahead, but once you get past it, the path clears up, with a vehicle lane on the right."
110.jpg,,"There is an obstacle ahead, with a barrier on the right, and the path veers slightly to the left."
110.jpg,,"An obstacle is in front, with a fence on the right, and the path curves slightly to the left."
110.jpg,,"Ahead, there is an obstacle, and on the right, there's a barrier, with the path turning slightly to the left."
110.jpg,,"There’s an obstacle ahead, with a barrier on the right side, and the route moves slightly leftward."
110.jpg,,"In front, there’s an obstacle, with a fence on the right, and the path shifts slightly to the left."
111.jpg,,"The road ahead is empty, with an obstacle on the right."
111.jpg,,"The path in front is deserted, and there is an obstacle on the right."
111.jpg,,"Ahead, the road is clear, with an obstruction to the right."
111.jpg,,"The road ahead is quiet, and there’s an obstacle on the right side."
111.jpg,,"In front, the road is vacant, with a barrier on the right."
112.jpg,,The road ahead is empty.
112.jpg,,The path in front is deserted.
112.jpg,,"Ahead, the road is clear."
112.jpg,,The road ahead is quiet.
112.jpg,,"In front, the road is vacant."
113.jpg,,"There are several obstacles ahead, with a vehicle lane on the right and an obstacle on the left. The path is relatively narrow."
113.jpg,,"Ahead, there are multiple obstacles, with a vehicle lane on the right and an obstruction on the left. The passage is fairly tight."
113.jpg,,"There are many obstacles in front, with a vehicle lane on the right and a barrier on the left. The path is quite narrow."
113.jpg,,"Multiple obstacles are ahead, with a vehicle lane on the right and an obstacle to the left. The road is relatively tight."
113.jpg,,"There are several obstacles in front, with a lane for vehicles on the right and an obstruction on the left. The passage is rather narrow."
114.jpg,,"There is an obstacle ahead, and the clear path is to the right of the obstacle."
114.jpg,,"An obstacle is in front, with the open road to the right of it."
114.jpg,,"Ahead, there is an obstacle, and the way forward is clear to the right of it."
114.jpg,,"There’s an obstacle ahead, with the unobstructed path lying to the right."
114.jpg,,"In front, there’s an obstacle, and the road is clear to the right side of it."
115.jpg,,"There is an obstacle on the right, but the road ahead is clear."
115.jpg,,"An obstacle is on the right, while the path in front is unobstructed."
115.jpg,,"To the right, there’s an obstacle, but the way ahead is open."
115.jpg,,"The right side has an obstacle, but the road ahead remains clear."
115.jpg,,"There’s a barrier on the right, but the path ahead is free of obstacles."
116.jpg,,"There are two consecutive obstacles ahead, but once passed, the road becomes clear. On the right, there is a vehicle lane."
116.jpg,,"In front, there are two obstacles in succession, but after crossing them, the path opens up. A vehicle lane is on the right."
116.jpg,,"Two obstacles are lined up ahead, but once you get past them, the road is clear, with a vehicle lane on the right."
116.jpg,,"Ahead, there are two back-to-back obstacles, but after passing them, the road is unobstructed, with a vehicle lane to the right."
116.jpg,,"There are two consecutive barriers ahead, and once cleared, the path becomes open, with a lane for vehicles on the right."
117.jpg,,"There is an obstacle ahead, but going straight to its right, the road is clear. On the far right, there’s a vehicle lane."
117.jpg,,"An obstacle is in front, but moving straight to its right leads to an open path. A vehicle lane runs on the right side."
117.jpg,,"There’s an obstacle ahead, but passing straight to its right keeps the road clear. The rightmost side has a vehicle lane."
117.jpg,,"In front, there’s an obstacle, but going directly to its right keeps the way clear. On the far right is a lane for vehicles."
117.jpg,,"Ahead, there’s an obstacle, but staying straight to its right maintains a clear road, with a vehicle lane on the right."
119.jpg,,"The road ahead is clear, with obstacles on both the left and right sides."
119.jpg,,"Ahead, the path is unobstructed, but there are obstacles to the left and right."
119.jpg,,"The road in front is open, while obstacles are present on either side."
119.jpg,,"The path ahead is clear, but both sides have obstacles."
119.jpg,,"Ahead, the road is wide open, with barriers on the left and right."
120.jpg,,"There are many obstacles ahead, but the road on the right is quite clear."
120.jpg,,"A lot of obstacles are in front, while the right side remains relatively open."
120.jpg,,"The path ahead is crowded with obstacles, but the right lane is fairly clear."
120.jpg,,"There are numerous obstacles ahead, but the right-hand road stays unobstructed."
120.jpg,,"The road ahead is filled with obstacles, but the right side remains fairly open."
122.jpg,,"There are many consecutive obstacles ahead, but they are moderate in size and easy to pass through, with just enough space between them. On the left is a vehicle lane, and on the right is a barrier along a lake."
122.jpg,,"Ahead, a series of manageable obstacles are lined up, spaced adequately apart, allowing easy passage. The left side has a vehicle lane, while the right side has a fence bordering a lake."
122.jpg,,"There are multiple successive obstacles in front, all reasonably sized and spaced just right for easy crossing. To the left is a vehicle lane, and to the right is a barrier with a lake behind it."
122.jpg,,"Numerous obstacles are positioned consecutively ahead, but they are moderate and easy to get past, with sufficient gaps between them. On the left is a road for vehicles, and on the right, a fence with a lake."
122.jpg,,"The road ahead has a chain of obstacles, all of a manageable size and spaced well enough to move through comfortably. To the left, there's a vehicle lane, while the right side features a fence along a lake."
